x,y,z
3.0, -44.0, -44.0
3.0, -44.0, -44.0
3.0, -42.0, -42.0
3.0, -42.0, -42.0
3.0, -42.0, -42.0
3.0, -42.0, -42.0
5.0, -41.0, -41.0
4.0, -41.0, -41.0
4.0, -41.0, -41.0
5.0, -40.0, -40.0
5.0, -40.0, -40.0
6.0, -37.0, -37.0
6.0, -37.0, -37.0
7.0, -37.0, -37.0
5.0, -37.0, -37.0
5.0, -37.0, -37.0
5.0, -37.0, -37.0
7.0, -37.0, -37.0
7.0, -34.0, -34.0
7.0, -34.0, -34.0
7.0, -33.0, -33.0
7.0, -33.0, -33.0
7.0, -32.0, -32.0
7.0, -30.0, -30.0
7.0, -30.0, -30.0
7.0, -29.0, -29.0
7.0, -29.0, -29.0
6.0, -28.0, -28.0
6.0, -28.0, -28.0
8.0, -27.0, -27.0
8.0, -27.0, -27.0
7.0, -26.0, -26.0
8.0, -24.0, -24.0
8.0, -24.0, -24.0
7.0, -24.0, -24.0
7.0, -24.0, -24.0
6.0, -23.0, -23.0
6.0, -23.0, -23.0
6.0, -23.0, -23.0
5.0, -20.0, -20.0
5.0, -20.0, -20.0
6.0, -20.0, -20.0
6.0, -20.0, -20.0
4.0, -18.0, -18.0
4.0, -18.0, -18.0
3.0, -17.0, -17.0
3.0, -16.0, -16.0
3.0, -16.0, -16.0
1.0, -15.0, -15.0
1.0, -15.0, -15.0
1.0, -14.0, -14.0
1.0, -14.0, -14.0
0.0, -15.0, -15.0
0.0, -15.0, -15.0
-1.0, -14.0, -14.0
0.0, -12.0, -12.0
0.0, -12.0, -12.0
-3.0, -14.0, -14.0
-3.0, -14.0, -14.0
-2.0, -12.0, -12.0
-4.0, -12.0, -12.0
-4.0, -12.0, -12.0
-4.0, -11.0, -11.0
-4.0, -11.0, -11.0
-7.0, -11.0, -11.0
-7.0, -11.0, -11.0
-7.0, -10.0, -10.0
-7.0, -10.0, -10.0
-9.0, -12.0, -12.0
-11.0, -12.0, -12.0
-11.0, -12.0, -12.0
-11.0, -12.0, -12.0
-11.0, -12.0, -12.0
-11.0, -11.0, -11.0
-11.0, -11.0, -11.0
-14.0, -11.0, -11.0
-15.0, -13.0, -13.0
-15.0, -13.0, -13.0
-14.0, -14.0, -14.0
-14.0, -14.0, -14.0
-16.0, -13.0, -13.0
-16.0, -13.0, -13.0
-16.0, -15.0, -15.0
-17.0, -13.0, -13.0
-17.0, -13.0, -13.0
-19.0, -14.0, -14.0
-19.0, -14.0, -14.0
-20.0, -15.0, -15.0
-20.0, -15.0, -15.0
-20.0, -16.0, -16.0
-23.0, -16.0, -16.0
-23.0, -16.0, -16.0
-22.0, -19.0, -19.0
-22.0, -19.0, -19.0
-22.0, -20.0, -20.0
-22.0, -20.0, -20.0
-24.0, -20.0, -20.0
-24.0, -20.0, -20.0
-24.0, -20.0, -20.0
-24.0, -20.0, -20.0
-24.0, -20.0, -20.0
-24.0, -23.0, -23.0
-24.0, -23.0, -23.0
-26.0, -24.0, -24.0
-26.0, -24.0, -24.0
-24.0, -24.0, -24.0
-27.0, -25.0, -25.0
-27.0, -25.0, -25.0
-26.0, -25.0, -25.0
-26.0, -25.0, -25.0
-26.0, -28.0, -28.0
-26.0, -28.0, -28.0
-28.0, -28.0, -28.0
-28.0, -28.0, -28.0
-27.0, -30.0, -30.0
-28.0, -31.0, -31.0
-28.0, -31.0, -31.0
-27.0, -31.0, -31.0
-27.0, -31.0, -31.0
-28.0, -33.0, -33.0
-28.0, -33.0, -33.0
